index,dBFS
178,-58.267536
179,-66.78691
180,-68.02987
181,-53.787235
182,-50.136734
183,-59.67916
184,-50.573303
185,-50.573303
186,-67.38618
187,-57.05358
188,-50.484215
189,-67.38618
190,-59.67916
191,-62.70451
192,-50.30874
193,-53.917854
194,-49.560207
195,-48.02987
196,-52.35619
197,-64.733665
198,-63.46028
199,-90.3087
200,-60.76631
201,-60.205734
202,-61.68146
203,-52.246933
204,-52.032455
205,-51.419083
206,-53.04228
207,-46.558323
208,-47.202015
209,-54.460903
210,-47.44844
211,-62.70451
212,-51.223885
213,-54.460903
214,-53.04228
215,-51.51835
216,-62.70451
217,-61.060776
218,-74.745705
219,-44.871902
220,-52.246933
221,-53.658558
222,-53.04228
223,-54.74571
224,-44.73366
225,-54.891697
226,-52.466843
227,-71.223885
228,-69.48088
229,-65.69975
230,-53.162083
231,-58.944702
232,-58.713066
233,-61.060776
234,-63.86435
235,-52.9241
236,-61.365578
237,-52.69246
238,-54.321922
239,-57.63937
240,-43.78202
241,-57.05358
242,-50.136734
243,-54.891697
244,-57.63937
245,-54.74571
246,-61.060776
247,-61.060776
248,-69.48088
249,-53.406773
250,-49.019577
251,-51.419083
252,-53.04228
253,-48.096943
254,-60.4815
255,-62.70451
256,-72.24693
257,-48.301323
258,-53.04228
259,-48.65303
260,-52.139034
261,-62.00927
262,-57.05358
263,-57.244488
264,-60.4815
265,-51.51835
266,-52.139034
267,-50.663307
268,-62.70451
269,-51.92717
270,-56.683907
271,-51.82315
272,-63.46028
273,-59.182686
274,-66.22633
275,-53.28357
276,-90.3087
277,-50.93907
278,-68.72511
279,-51.618767
280,-56.86678
281,-60.205734
282,-56.32933
283,-62.349934
284,-55.040173
285,-53.04228
286,-78.26753
287,-53.917854
288,-65.69975
289,-55.34497
290,-53.531754
291,-62.349934
292,-63.46028
293,-51.82315
294,-54.05047
295,-54.460903
296,-50.396034
297,-68.02987
298,-66.22633
299,-58.713066
300,-53.787235
301,-76.32933
302,-60.76631
303,-57.05358
304,-62.70451
305,-61.365578
306,-54.602135
307,-65.69975
308,-48.7978
309,-68.72511
310,-53.917854
311,-64.733665
312,-60.205734
313,-62.00927
314,-76.32933
315,-52.9241
316,-63.46028
317,-68.72511
318,-52.9241
319,-70.30873
320,-56.32933
321,-70.30873
322,-70.30873
323,-58.05306
324,-63.46028
325,-53.28357
326,-66.22633
327,-61.68146
328,-62.349934
329,-48.02987
330,-53.917854
331,-52.69246
332,-54.74571
333,-60.4815
334,-68.72511
335,-57.244488
336,-51.032978
337,-47.96331
338,-60.205734
339,-62.70451
340,-57.439686
341,-65.69975
342,-54.602135
343,-55.823215
344,-66.78691
345,-71.223885
346,-56.504814
347,-55.34497
348,-50.75426
349,-58.713066
350,-60.205734
351,-54.891697
352,-56.157333
353,-200.00002
354,-64.733665
355,-64.28813
356,-51.720356
357,-54.05047
358,-76.32933
359,-53.162083
360,-52.35619
361,-51.223885
362,-59.427376
363,-70.30873
364,-53.162083
365,-57.05358
366,-57.63937
367,-50.573303
368,-45.69976
369,-50.222305
370,-55.823215
371,-48.301323
372,-64.733665
373,-51.720356
374,-60.76631
375,-52.466843
376,-84.28813
377,-48.02987
378,-47.02168
379,-60.4815
380,-64.28813
381,-58.713066
382,-53.787235
383,-61.365578
384,-51.032978
385,-53.917854
386,-64.733665
387,-58.487442
388,-73.40677
389,-52.35619
390,-71.223885
391,-45.90657
392,-78.26753
393,-58.487442
394,-60.205734
395,-65.69975
396,-72.24693
397,-90.3087
398,-69.48088
399,-58.944702
400,-59.427376
401,-53.406773
402,-51.419083
403,-69.48088
404,-61.68146
405,-50.75426
406,-59.67916
407,-55.988663
408,-46.558323
409,-64.28813
410,-61.365578
411,-68.02987
412,-49.80262
413,-57.84375
414,-70.30873
415,-57.84375
416,-68.02987
417,-60.4815
418,-60.205734
419,-48.871098
420,-48.370537
421,-65.69975
422,-90.3087
423,-45.90657
424,-60.4815
425,-51.419083
426,-58.267536
427,-60.205734
428,-66.78691
429,-54.321922
430,-50.30874
431,-49.17064
432,-54.05047
433,-52.35619
434,-62.70451
435,-52.246933
436,-52.9241
437,-47.63796
438,-50.75426
439,-54.05047
440,-68.02987
441,-59.427376
442,-57.05358
443,-66.22633
444,-51.82315
445,-59.67916
446,-54.185135
447,-64.733665
448,-48.096943
449,-71.223885
450,-53.658558
451,-47.324352
452,-52.578922
453,-48.164536
454,-48.096943
455,-61.68146
456,-90.3087
457,-63.86435
458,-76.32933
459,-90.3087
460,-53.28357
461,-65.203285
462,-64.28813
463,-66.78691
464,-48.301323
465,-52.578922
466,-53.04228
467,-57.05358
468,-74.745705
469,-57.439686
470,-61.060776
471,-47.386173
472,-58.267536
473,-67.38618
474,-51.51835
475,-69.48088
476,-53.658558
477,-84.28813
478,-72.24693
479,-58.267536
480,-54.185135
481,-46.558323
482,-200.00002
