index,dBFS
164,-78.26753
165,-74.745705
166,-78.26753
167,-76.32933
168,-80.766304
169,-74.745705
170,-200.00002
171,-72.24693
172,-71.223885
173,-78.26753
174,-76.32933
175,-73.40677
176,-78.26753
177,-78.26753
178,-73.40677
179,-74.745705
180,-80.766304
181,-78.26753
182,-72.24693
183,-200.00002
184,-71.223885
185,-73.40677
186,-76.32933
187,-76.32933
188,-76.32933
189,-76.32933
190,-76.32933
191,-73.40677
192,-76.32933
193,-84.28813
194,-74.745705
195,-84.28813
196,-200.00002
197,-70.30873
198,-72.24693
199,-80.766304
200,-78.26753
201,-73.40677
202,-80.766304
203,-74.745705
204,-72.24693
205,-73.40677
206,-80.766304
207,-76.32933
208,-78.26753
209,-76.32933
210,-72.24693
211,-76.32933
212,-74.745705
213,-74.745705
214,-74.745705
215,-76.32933
216,-70.30873
217,-76.32933
218,-74.745705
219,-80.766304
220,-73.40677
221,-84.28813
222,-78.26753
223,-70.30873
224,-78.26753
225,-78.26753
226,-74.745705
227,-80.766304
228,-84.28813
229,-73.40677
230,-73.40677
231,-78.26753
232,-84.28813
233,-71.223885
234,-90.3087
235,-76.32933
236,-72.24693
237,-74.745705
238,-78.26753
239,-73.40677
240,-73.40677
241,-74.745705
242,-73.40677
243,-78.26753
244,-74.745705
245,-74.745705
246,-74.745705
247,-78.26753
248,-71.223885
249,-74.745705
250,-84.28813
251,-90.3087
252,-73.40677
253,-80.766304
254,-80.766304
255,-70.30873
256,-76.32933
257,-90.3087
258,-74.745705
259,-80.766304
260,-90.3087
261,-71.223885
262,-73.40677
263,-78.26753
264,-78.26753
265,-73.40677
266,-84.28813
267,-73.40677
268,-74.745705
269,-78.26753
270,-84.28813
271,-73.40677
272,-90.3087
273,-90.3087
274,-70.30873
275,-80.766304
276,-76.32933
277,-74.745705
278,-76.32933
279,-80.766304
280,-74.745705
281,-74.745705
282,-74.745705
283,-84.28813
284,-73.40677
285,-200.00002
286,-76.32933
287,-76.32933
288,-76.32933
289,-84.28813
290,-73.40677
291,-73.40677
292,-80.766304
293,-72.24693
294,-78.26753
295,-80.766304
296,-90.3087
297,-74.745705
298,-200.00002
299,-72.24693
300,-72.24693
301,-76.32933
302,-76.32933
303,-73.40677
304,-80.766304
305,-78.26753
306,-72.24693
307,-76.32933
308,-78.26753
