index,dBFS
481,-80.766304
482,-78.26753
483,-73.40677
484,-73.40677
485,-72.24693
486,-70.30873
487,-73.40677
488,-73.40677
489,-72.24693
490,-73.40677
491,-73.40677
492,-72.24693
493,-72.24693
494,-71.223885
495,-68.72511
496,-68.72511
497,-74.745705
498,-72.24693
499,-73.40677
500,-74.745705
501,-72.24693
502,-70.30873
503,-67.38618
504,-72.24693
505,-73.40677
506,-76.32933
507,-69.48088
508,-78.26753
509,-73.40677
510,-68.72511
511,-70.30873
512,-72.24693
513,-68.02987
514,-90.3087
515,-74.745705
516,-68.02987
517,-76.32933
518,-74.745705
519,-73.40677
520,-71.223885
521,-78.26753
522,-74.745705
523,-73.40677
524,-76.32933
525,-74.745705
526,-74.745705
527,-74.745705
528,-70.30873
529,-76.32933
530,-76.32933
531,-70.30873
532,-74.745705
533,-73.40677
534,-70.30873
535,-73.40677
536,-74.745705
537,-71.223885
538,-72.24693
539,-74.745705
540,-76.32933
541,-73.40677
542,-71.223885
543,-74.745705
544,-73.40677
545,-69.48088
546,-76.32933
547,-72.24693
548,-76.32933
549,-69.48088
550,-72.24693
551,-72.24693
552,-71.223885
553,-72.24693
554,-69.48088
555,-72.24693
556,-72.24693
557,-70.30873
558,-78.26753
559,-71.223885
560,-70.30873
561,-72.24693
562,-74.745705
563,-76.32933
564,-70.30873
565,-70.30873
566,-69.48088
567,-69.48088
568,-70.30873
569,-73.40677
570,-68.02987
571,-71.223885
572,-73.40677
573,-73.40677
574,-71.223885
575,-73.40677
576,-72.24693
577,-80.766304
578,-71.223885
579,-74.745705
580,-70.30873
581,-69.48088
582,-72.24693
583,-72.24693
584,-76.32933
585,-76.32933
586,-67.38618
587,-70.30873
588,-72.24693
589,-68.02987
590,-73.40677
591,-78.26753
592,-74.745705
593,-71.223885
594,-80.766304
595,-71.223885
596,-73.40677
597,-72.24693
598,-68.72511
599,-70.30873
600,-76.32933
601,-72.24693
602,-76.32933
603,-68.72511
604,-70.30873
605,-73.40677
606,-71.223885
607,-70.30873
608,-73.40677
609,-74.745705
610,-71.223885
611,-70.30873
612,-70.30873
613,-73.40677
614,-71.223885
615,-70.30873
616,-72.24693
617,-70.30873
618,-78.26753
619,-66.78691
620,-78.26753
621,-74.745705
622,-69.48088
623,-80.766304
624,-76.32933
625,-80.766304
626,-72.24693
627,-73.40677
628,-74.745705
629,-71.223885
630,-70.30873
631,-72.24693
632,-68.72511
633,-78.26753
634,-74.745705
635,-71.223885
636,-72.24693
637,-78.26753
638,-70.30873
639,-69.48088
640,-72.24693
641,-73.40677
642,-78.26753
643,-69.48088
644,-70.30873
645,-69.48088
646,-78.26753
647,-72.24693
648,-74.745705
649,-76.32933
650,-74.745705
651,-67.38618
652,-73.40677
653,-73.40677
654,-73.40677
655,-76.32933
656,-78.26753
657,-71.223885
658,-68.02987
659,-72.24693
660,-68.02987
661,-72.24693
